bill_id,state,identifier,first_action_date,bill_title,post_id,post_date,cosine_similarity,post_text,manual_alignment_valid,manual_notes
ocd-bill/9537b8c5-3805-4bc2-b94c-5fec5c6132d2,Illinois,SB 3120,2026-02-02 00:00:00+00:00,DCEO-DATA CENTERS,1719008199350123,2026-04-20 15:39:34+00:00,0.34349643722727075,"Illinois Data Center madness: Democrats are responsible a huge majority of the Data Centers in Illinois. The map shows Red/Blue and the number of Data centers in each Illinois Congressional District.

The Numbers : 

Current number of data centers: 
122 in Democrat districts
2 in Republican Districts

Planned (future Data Centers):

119 in Democrat Districts
12 in Republican Districts

Conclusion: Who you elect in Congress plays a large part in whether a data center is located in your community. Yes, Democrats in Illinois are responsible for the much higher electric bills you are paying as a result of data centers. Democrats are almost entirely responsible for the noise emitted by Data Centers, and Democrats will be responsible for future water shortages associated with data centers in your community.

Every time you elect a Democrat in Congress, you increase the chances of a data center being located next to your home.

#DataCenter #Congressionalmaps #DataCentersIllinois #Democrats #fairandbalanced   #dekalbillinoisissues",,
ocd-bill/5c82a2d3-f95d-46fd-9e67-e089eb1c3c1a,Illinois,SB 4203,2026-05-13 00:00:00+00:00,DCEO-DATA CENTERS,1719008199350123,2026-04-20 15:39:34+00:00,0.34349643722727075,"Illinois Data Center madness: Democrats are responsible a huge majority of the Data Centers in Illinois. The map shows Red/Blue and the number of Data centers in each Illinois Congressional District.

The Numbers : 

Current number of data centers: 
122 in Democrat districts
2 in Republican Districts

Planned (future Data Centers):

119 in Democrat Districts
12 in Republican Districts

Conclusion: Who you elect in Congress plays a large part in whether a data center is located in your community. Yes, Democrats in Illinois are responsible for the much higher electric bills you are paying as a result of data centers. Democrats are almost entirely responsible for the noise emitted by Data Centers, and Democrats will be responsible for future water shortages associated with data centers in your community.

Every time you elect a Democrat in Congress, you increase the chances of a data center being located next to your home.

#DataCenter #Congressionalmaps #DataCentersIllinois #Democrats #fairandbalanced   #dekalbillinoisissues",,
ocd-bill/8458241b-f544-4185-840a-684683b675ca,Illinois,HB 5755,2026-04-27 00:00:00+00:00,MUNI CD-DATA CENTER REFERENDUM,1997354811141927,2026-05-15 20:32:45+00:00,0.3208757975189279,"Republicans propose a law to let Illinois communities vote on Data centers in their communities, Democrats oppose the idea.

Illinois Rep. Jed Davis (R) has proposed a bill to allow residents to petition for a referendum on the siting of a data center in their communities, before they get built.

Davis says:

""The proposal, House Bill 5755, creates a clear pathway for voters to weigh in through a referendum before a municipality approves a data center project.
“This bill is rooted in a simple principle - major decisions affecting a community should be decided by the people who live there,” said Rep. Davis. “We’ve seen how quickly these projects can move, and how strongly residents feel. This proposal gives them a meaningful, real voice.”
House Bill 5755 requires public notice and a hearing for any proposed data center, and also allows residents to trigger a referendum if enough signatures are gathered. If voters choose to weigh in, the final decision rests with them. ""

Sadly, Democrats believe that voters should not have a say or have any authority over over massive projects that can reshape communities, increase power demand, consume water resources, and affect local utility bills.

Gov. JB Pritzker has strongly promoted Illinois as a destination for data center expansion and economic development.
 
If HB5755 is passed, a town/municipality would have to give notice of a public hearing on a data center application. The town would also have to give notice of the right to peti",,
ocd-bill/e91fdd8a-7223-4dd5-9028-8eb5927217b8,New York,S 10487,2026-05-15 00:00:00+00:00,"Enacts the ""data center water stewardship and reuse act""",1414303100532794,2026-06-10 18:02:24+00:00,0.19581920674875972,"A record-shattering drought has racked much of the US. But the artificial intelligence industry is pushing ahead regardless, with the majority of planned datacenters set to be built in drought-ridden locations, a Guardian analysis has found.

About two-thirds of upcoming datacenters, which typically require a large amount of water to operate, are set to be built in places that have been among the driest in the country over the past year.

Of 809 planned datacenters, 517 are in locations that have been in drought conditions throughout the past year, according to data from Cleanview and the federal government, which grades drought across four levels of severity. A similar proportion of existing datacenters are already situated in drought-affected areas.

More than 60% of the contiguous US is currently at varying stages of drought, the largest expanse for spring in modern records, with a particularly severe lack of rain and snow in the south-east and west desiccating croplands and raising fears of a disastrous wildfire season.

Most US data centers continue to be built in drought zones.

Scientists have determined that the climate crisis, caused by the burning of fossil fuels, is worsening the duration and intensity of droughts in the US.

But a stampede of new datacenters are adding extra demands via their hefty energy and water requirements. Large datacenters, some the size of small towns, can require up to 5m gallons of water a day, equivalent to the water use of up to 50,000",,
ocd-bill/05fd82ab-2e04-42cd-b605-802b500455bf,Maryland,SB 1000,2026-02-23 00:00:00+00:00,Certificates of Public Convenience and Necessity and Construction of Data Centers,2555716478181513,2026-05-05 14:01:01+00:00,0.1914306897270921,"You may be shocked to find out that the Moore Administration has been encouraging the construction of data centers on this Department of Commerce website: https://business.maryland.gov/key-industries/data-centers/ 

During Governor Moore’s May 9 (2024) press conference where he signed the Act into law, he remarked, “This bill is going to supercharge the data center industry in Maryland, so we can unleash more economic potential and create more good paying union jobs.” This was on Senate Bill 474 from 2024. 

He even vetoed a bill that would have required a study and analysis of the impact of data centers. Thankfully, the Maryland General Assembly overrode his veto. We will have the report on September 1, 2026. I know I'll be reading that ASAP. In the meantime, I'd recommend delaying any further discussions, planning, and zoning, etc. on data centers until we know more. 

Here's the report from last year: https://foxbaltimore.com/spotlight-on-maryland/moore-expected-to-veto-bipartisan-data-center-bill-federal-court-doesnt-make-decision 

#datacenters #nothere #baltimorecounty #carrollcounty #farmcountry #farmersforfox #datacenter #bigenergy #energy #marylandenergy",,
ocd-bill/b469f5e2-4780-44e3-8555-4b2dced356d3,Illinois,HR 744,2026-03-20 00:00:00+00:00,DATA CENTERS-SUPPLY OWN ENERGY,1719008199350123,2026-04-20 15:39:34+00:00,0.18080305753907017,"Illinois Data Center madness: Democrats are responsible a huge majority of the Data Centers in Illinois. The map shows Red/Blue and the number of Data centers in each Illinois Congressional District.

The Numbers : 

Current number of data centers: 
122 in Democrat districts
2 in Republican Districts

Planned (future Data Centers):

119 in Democrat Districts
12 in Republican Districts

Conclusion: Who you elect in Congress plays a large part in whether a data center is located in your community. Yes, Democrats in Illinois are responsible for the much higher electric bills you are paying as a result of data centers. Democrats are almost entirely responsible for the noise emitted by Data Centers, and Democrats will be responsible for future water shortages associated with data centers in your community.

Every time you elect a Democrat in Congress, you increase the chances of a data center being located next to your home.

#DataCenter #Congressionalmaps #DataCentersIllinois #Democrats #fairandbalanced   #dekalbillinoisissues",,
ocd-bill/19381769-c46e-49cb-84f6-4e371c11bf80,Virginia,HB 910,2024-01-09 00:00:00+00:00,Data centers; energy usage.,400981655934238,2024-02-07 20:55:24+00:00,0.1775749133077486,"⚡️🔌 Data centers use a staggering amount of electricity. As of 2022, they consumed about 21% of Virginia’s power, but they are the only growing sector of electricity demand in the state. In fact, there are so many new facilities being proposed and approved that this single industry is projected to drive Virginia's peak energy demand to double from current levels by 2040.

This explosive growth threatens to derail state efforts to meet climate goals, improve air and water quality, advance land conservation, and protect national and state parks. 

To make matters even worse, ordinary ratepayers throughout the state will foot the bill to build out the electric transmission and generation projects that are required to keep the data center industry afloat. Yet, the Commonwealth does not currently have any regulatory oversight of data center development. 

Learn more and take action at https://pecva.org/datacenters

Watch the full video at https://youtu.be/fAPusgiz4B8?si=GmMAh4iNGPewchqO

#climatechange #electricty #energy #datacenter #artificialintelligence #ai #virginia",,
ocd-bill/b1f44ef5-d9e7-493a-8d8f-d7d6d32dcd36,Virginia,HB 910,2024-01-09 00:00:00+00:00,Data centers; energy usage.,400981655934238,2024-02-07 20:55:24+00:00,0.17530438132004994,"⚡️🔌 Data centers use a staggering amount of electricity. As of 2022, they consumed about 21% of Virginia’s power, but they are the only growing sector of electricity demand in the state. In fact, there are so many new facilities being proposed and approved that this single industry is projected to drive Virginia's peak energy demand to double from current levels by 2040.

This explosive growth threatens to derail state efforts to meet climate goals, improve air and water quality, advance land conservation, and protect national and state parks. 

To make matters even worse, ordinary ratepayers throughout the state will foot the bill to build out the electric transmission and generation projects that are required to keep the data center industry afloat. Yet, the Commonwealth does not currently have any regulatory oversight of data center development. 

Learn more and take action at https://pecva.org/datacenters

Watch the full video at https://youtu.be/fAPusgiz4B8?si=GmMAh4iNGPewchqO

#climatechange #electricty #energy #datacenter #artificialintelligence #ai #virginia",,
ocd-bill/8fe5c79e-6507-4bf3-9d38-dcc42bb5d0e6,New York,S 10642,2026-06-01 00:00:00+00:00,Enacts the responsible data center development act,1577845150804078,2026-08-09 15:06:11+00:00,0.16364702506162895,"New York just became the first state in the nation to temporarily halt new hyperscale data center development.

Governor Kathy Hochul signed an executive order for a one year moratorium on environmental permits for data centers needing 50 megawatts or more.

The goal is protecting the electric grid, lowering utility costs, and buying time for stricter statewide standards.

Is this a smart move to protect local communities, or a major roadblock for AI innovation?

Drop your take in the comments below. 👇

newyork ai infrastructure techpolicy datacenter energy",,
ocd-bill/b7c4d91a-54d5-4bbc-970a-646704a05c19,New York,A 11560,2026-06-01 00:00:00+00:00,Enacts the responsible data center development act,1577845150804078,2026-08-09 15:06:11+00:00,0.16364702506162895,"New York just became the first state in the nation to temporarily halt new hyperscale data center development.

Governor Kathy Hochul signed an executive order for a one year moratorium on environmental permits for data centers needing 50 megawatts or more.

The goal is protecting the electric grid, lowering utility costs, and buying time for stricter statewide standards.

Is this a smart move to protect local communities, or a major roadblock for AI innovation?

Drop your take in the comments below. 👇

newyork ai infrastructure techpolicy datacenter energy",,
