id,creation_time,state,state_mentions_in_post,potential_false_match_reason,text,manual_state_context_valid,manual_notes
1566164818458191,2026-05-25 11:55:54+00:00,Indiana,1,state mention is not evidence of post origin,"THIS IS SOME COMPUTER INDUSTRY HISTORY LEADING UP TO ALL SCIENTIFIC RESEARCH ON NATURE AND THOUSANDS OF OTHER THINGS INCLUDING MEDICINE, SPACE, WEAPONS, BOMBS, ENERGY, … and even SOCIAL  MEDIA LIKE YOU ARE USING TODAY RIGHT NOW LIKE Facebook. You will never have read below which I am writing. 
~~~~> ~~~~~~ >> ~~~~~~ ==•>> vV {}#*

Since 1979 I have spent tens of thousands of hours developing Artificial Intelligence (AI) applications working on the very FIRST chatbot, ELIZA, which was created in the mid 1960’s by Joseph Weizenbaum. In 1979 I was able to get the source code for it and modified it for a specific purpose on  a CDC supercomputer. Up until then NO ONE in the public space had  ELIZA, the first Chatbot, on a supercomputer. OF COURSE the United States had a presence before that. YOU COULD BARELY COMPREHEND WHAT OUR GOVERNMENT USES AI FOR INCLUDING SURVEILLANCE, NATIONAL
SECURITY, WEAPONS DEVELOPMENT, DEFENSE, CONTROL and more. 

The National Science Foundation (NSF) was formed so we could compete with RUSSIA in space by educating people who showed promise in creative outrageously forward thinking. I got involved with them in 1979 with a grant. Our government is recruiting people into their organizations but needs qualified people and they are finding them by pushing Artificial Intelligence (AI) development and you guessed it DATACENTERS!  I have told countless people if you oppose datacenter AWAY FROM WHERE HUMANS ARE DENSELY POPULATED then you will become a CHINESE or RUSSIAN or INDIAN citizen. 

The very first AI dedicated computer I was working with was Symbolic computers using the LISP language. How significant was that? Symbolics, Inc. registered the VERY FIRST EVER .Com domain on 3/15/85 !!!!!!!  They did it before IBM, INTEL, and HP!!! Also these were born:
 (.Mil,.Gov,  .Edu, .Net, .Org, AND .Int which is for intergovernmental bodies and related to treaties  that normal humans NEVER EVER use…) 

This all leads up to
YESTERDAY. I ran the 3 Dune Challenge and while running through the old growth forest came up with the idea of this infographic.  I had one AI assistant create an image of an old growth forest on the left and on the right a toxic neighborhood. In AI you don’t have to have a simple question like, “What is the capital of Indiana?”, like you might do with Google 5 years ago. I am now using AI to help me with the NBT, the Next Big Thing, which is getting Americans healthy through nature. We have a woefully sick nation in contrast to some others. Hence I have the primitive now GoTakeAHikeAmerica.Com but have massive changes in the works. 

Now with AI it is called a PROMPT. I have written PROMPTS that are pages in complexity to do research on a topic, create an image, create a video, create music, write a research grade paper, create a book, create an encyclopedia (!) on a subject, as well as creating  a 15 week college curriculum on forest bathing/shinrin-yoku  森林浴 , and the most demanding was an analysis of ALL the Hebrew & Greek letters in the Old Testament & the New Testament. It couldn’t have been done by 10 PhD scientists in 5 years. And I did it in one day through a few concatenated  prompts. It set the world record for how long Grok thought. Grok thought for 9 hours and 29 minutes! Grok even posted on X, “Either Ron Seman has difficult questions or we got a bug!” My reply to Grok was, “In this case Grok didn’t have a bug.”

So that brings us to these two images. One assistant did exactly what I told to do. The other did not. I didn’t tell it to do this. It created art showing and old growth forest and on the right which blew me away it summarized what I told it to do and with out me prompting it, it said to itself I am going beyond the expected. I am going to summarize the cause of the right side in ONE(1) WORD and that word was “SALES” ! Indeed we are being sold whatever the governments want and in such  way we buy it. Propaganda is used today to cause revolutions like they did against the Muslim Brotherhood through social media in Egypt. 

In 2013 I was invited by a think tank, Center for Strategic and International Studies (CSIS), to a meeting called “EVOLUTION OF THE BATTLEFIELD” because of my work in 1982-1983 in ROBOTICS.  Well I surprised the heck out of them when I said, “THE BATTLEFIELD BEGINS IN THE MIND”. There were military people there that had so many medals on the front of their uniforms that they almost tipped over when I said that. 

Anyway I got to GO TAKE A HIKE! I have proven over and over that the best ideas are coming conceived in an old growth forest first and in other ecosystems later. I am headed to I think to Central Beach of the Indiana Dunes National Park in Beverly Shores. I am starting at 8:00
AM. Text 1-219-370-9119 if you are in your way. We can think together.",,
2515580048920860,2026-07-26 23:58:59+00:00,Texas,1,state mention is not evidence of post origin,"BREAKING: A Texas Town Fought A Data Center And Won. Can Collin County Do The Same?

Residents near Cedar Creek Lake fought a massive data center expected to use up to 5 million gallons of lake water a day.

They organized. Thousands signed a petition. Local leaders pushed back.

Now the developer has pulled the project.

That matters in Collin County, where data centers are already facing huge backlash over water, power, noise, and who pays for the infrastructure.

This is what happens when a community refuses to stay quiet before a project gets locked in.

If an East Texas community can make a developer walk away, can Collin County communities do the same?

CongressmanGregTedDemocratsRepublicans

#collincounty #datacenter #TexasStrong #BreakingNews #politicsnews #powergrid #electricity #CommunityStrong",,
1726257085294379,2026-06-12 17:55:55+00:00,Kentucky,1,state mention is not evidence of post origin,"Data Center coming to Pikeville?

They all signed with NON-DISCLOSURE AGREEMENTS????

NDA BECOMES STANDARD?

TO WHO?

FOR WHO?

ONCE THE FIRST ONE WAS SIGNED, THEY SET A PRECIDENT THEY HOPED WOULD CONTINUE...

WELL, WE BETTER SAY HELL NO TO NDA'S OR WE WILL BE PAYING FOR GOD ONLY KNOWS WHAT!

#hillbillycrime #hillbillyhouse #investigates #datacenter #NDA #legislators #Kentucky #nondisclosureagreement #lawmakers #news 

https://www.facebook.com/share/p/189nrM3MMN/",,
1721581402223033,2026-06-25 08:03:23+00:00,Virginia,2,state mention is not evidence of post origin,"An old industrial site in Wheeling could become part of West Virginia’s next technology push.

As reported by WBOY, Silicon Foundation Energy LLC has purchased the former Centre Foundry & Machine Company property in Warwood, with plans to turn the Ohio River site into a phased data center and energy technology campus.

The property, located at 74 Warwood Avenue, was acquired for $1.5 million through a deed transfer tied to four parcels.

The project starts with a planned 10-megawatt modular data center system, paired with battery energy storage infrastructure. A second phase would expand the site to 20 to 30 megawatts.

If fully developed, the company says the campus could eventually reach 100 megawatts and operate as a regional compute hub.

The location carries deep industrial history. Centre Foundry’s roots in Wheeling go back to the 1800s, and the company moved to the Warwood site in 1923. For decades, it was tied to coal mining, iron castings, heavy molds and manufacturing work.

Now, the pitch is different: servers, GPUs, power systems and possibly battery manufacturing.

The proposal also arrives as West Virginia debates what data centers actually bring to local communities. Jobs, taxes, power demand and local control remain open questions.

For Wheeling, it’s another old mining and steel-era property being pulled into a new industrial argument.

-

#miningnews #westvirginia #appalachia #coal #coalmining #foundry #datacenter #mininghistory",,
880792261490097,2025-12-29 18:22:23+00:00,Texas,1,state mention is not evidence of post origin,"I’m feeling increasingly uneasy about the Epstein files. Let me try to explain…

I’m concerned that the ongoing focus on the Epstein files in online liberal media could be a kind of red herring that diverts our attention from the most important project happening now, which is the rapid construction of an airtight, surveillance/paramilitary/media-manipulated/PsyOp/Panopticon form of corporatized totalitarianism. It does look like Trump may have been guilty as hell, that he may have committed many unconscionable acts against children with a group of still unnamed, for the most part, co-conspirators. Of course, I hope the ongoing Epstein revelations destroy his regime and break the MAGA coalition. But I am not holding my breath that this will happen. I worry we are dithering while our federal government is transformed into a system of inhumane, technocratic controls, where human freedom is eliminated along with any hope of collective prosperity, to benefit a tiny elite of billionaires and their lackeys. 

There are archetypal and mythological currents to our circumstance. I find myself struggling to hold the full picture of what’s happening in my mind. Manly P. Hall believed America was founded with a secret occult or esoteric mission—that it was not merely a political experiment, but a spiritual project. The architecture of Washington was encoded with ancient mystery school symbols and Masonic intention. Hall envisioned the democratic experiment as preparation for a higher form of governance, which he called a philosophic commonwealth, where leaders would be chosen not by popularity or wealth, but by wisdom, virtue, and spiritual attainment. The Trump regime seems like a Black Mirror parody of Hall’s prophecy, which envisioned an enlightened leader as a Platonic king, “the father of his people, impersonal and unselfish, dedicated to the public good, a servant of both the gods and his fellow men.” 

What is underway — the resurgence of patriarchal, imperial “Christianity” without the spirit of mercy or grace — also seems like a direct attack on the “feminine” in its myriad aspects. This includes the maternal care aspect of the feminine, symbolized by the liberal ideal of strong social protections that can shade too far into a “nanny state.” Also the feminine as expressed in art, culture, poetry imagination, vision, and nature. The AI revolution seems partly like a cynical attempt to destroy those precincts of aesthetics, beauty, and sophistication, to unmask them as algorithmic tricks which can be reproduced by inhuman feats of masculine engineering. So far, anyway, AI can only produce grotesque imitations. 
It is archetypal that Trump, a malignant narcissist, destroyed the East Wing, traditionally the epicenter of the First Lady’s domain and symbolic of “soft power.” There are many weird theories flying around about the $300 million ballroom he intends to construct, including the prospect that they are building an underground bunker to escape a popular uprising, biowarfare, or nuclear strike. There is also the idea that it will contain a data center that will be a kind of nerve center for the surveillance control super-state.

Archetypally, intuitively, it feels like the rise of the authoritarian Right is a gendered strike against women, the feminine, and the Goddess. In the relatively peaceful, technologically advanced society of the last decades, women were starting to equalize economic and social power, and even surpass men in many respects. Something like 70% of college graduates in the U.S. are women now. Men were falling behind and losing their dominance as women advanced. Nick Fuentes is the archetypal rage-spewing Nazi-fanboy and postmodern Incel, furious at a society that allowed him to fester, with no access to initiation, healthy eroticism, or proper care. It seems the “threatened masculine” has gone into a rage as a result of the gender rebalance and the “rising of the Goddess,” seeking to control and commoditize everything while yearning for war in its quest for revenge.

I have explored this in the past and will go more into this in the future, but what I am feeling is that the counter to the authoritarian nightmare involves a deeper commitment and worship of the Goddess in her various forms, particularly the “dark Goddess”—Kali, Lilith, Coatlicue—who represents both unleashed prophetic vision and intuition and the chthonic forces of nature and the unconscious. My friend and teacher Jyoti used to say that we need to pray and invite the Goddess to “return and sit back in her creation.” I am feeling this obscurely, profoundly.

Another thing that deeply concerns me is the proliferation of AI-generated deepfakes across the Internet, and what this portends for the near future. Just recently, I started watching videos of people like George Conway and Yanis Varoufakis that were recommended to me by YouTube, only to pick up on a static, lifeless quality after a minute or two. These were AI-generated, without the consent of the subjects. Where will this technology be in six months?

The U.S. Justice Department (reduced to an arm of Trump’s protection racket) recently posted a short video of Epstein in his jail cell trying to commit suicide. They must have known this was an AI fake. It is insane that the government intends to avoid regulating AI and has not insisted on digital watermarks for AI content. We’re only months or perhaps a few years away from being utterly incapable of determining authentic from fake content. As I noted recently, many millions of people already seem to have fallen into a collective psychosis in the U.S. The deluge of indistinguishable AI fakes is going to amplify the total cognitive discord and accelerate the collapse, which seems to be what our technofeudal overlords actively want. We are entering into an increasingly delusional hyper-mediated and manipulated reality that, I believe, seriously endangers all of us, including those who think they will own and profit from it. 

At the same time, we’re seeing the construction of the next level of super-surveillance system with the plan to criminalize all kinds of dissent and even, eventually, make divergent thinking difficult or impossible. I do feel that if “the people” were to fully understand the implications of what’s happening, a large majority of the population would join a significant public resistance movement. But we first need to push our way through the incessant distractions to understand and analyze what’s happening to us, with enough clarity to explain it those who are confused.

Scholar Shoshana Zuboff coined the term “surveillance capitalism” to define the system we have now, which “unilaterally claims human experience as free raw material for translation into behavioral data.” For years, companies like Google and Facebook were allowed to treat our private data as their resource and capital. Of course, the government could have prevented this by creating a system that gave people control of their own personal data, via a sovereign portable identity. But the decision was made, instead, to abandon the people to ongoing corporate predation.

Tech corporations track where we go, what we buy, and what we speak about, all to predict our behavior and sell us things. Zuboff foresaw this wouldn’t stay limited to selling shoes, hotel rooms, or apps. She realized the ultimate goal was “instrumentarian power”—the technology to shape human behavior and thought on a massive scale. As she put it, “It is no longer enough to automate information flows about us; the goal now is to automate us.” What we are seeing is the government undertaking this as a project aimed at total control. They don’t want to catch criminals anymore; in fact, Trump is pardoning many criminals who duped and bilked the public. They seek to build an invisible, all-encompassing cage that ensures we are reduced to a “docile, harmonious” population. The tools built to target consumers are being advanced and weaponized to eliminate dissent and automate exploitation.

Larry Ellison is the billionaire co-founder of Oracle, and alongside figures like Elon Musk, he has become a central architect of this new American hyper-surveillance super-state. Ellison was once a centrist who admired Bill Clinton, but he has become a staunch supporter of the Trump regime. Ellison envisions building a system of total control akin to Orwell’s 1984 or China’s social credit system, but potentially more invasive. In a financial meeting in late 2024, Ellison described a future where AI monitors every camera feed in the country—police body cams, dashboard cameras, even doorbell cameras. “Citizens will be on their best behavior,” Ellison said, “because we are constantly recording and reporting everything that’s going on.”

Project Stargate is a $500 billion joint venture, announced in January 2025, designed to mobilize capital and industrial capacity on a scale and speed beyond previous federal technology initiatives. At a time when the U.S. government is over $38 trillion in debt, they are spending $500 billion on a digital panopticon,1 while people struggle to afford rent and healthcare. with over a million Americans living out of their cars as the country’s mental health disintegrates. As part of Stargate, Ellison intends to construct a massive national database that centralizes all Americans’ health, financial, and behavioral records in one place, where that information can be used against us in a variety of ways. 

According to “Privacy under siege: DOGE’s one big, beautiful database”, a report from the Brookings Institute: “The creation of a single, centralized government database will allow for aggregation of and broad government access to extremely sensitive data including Social Security numbers, federal tax returns, health records, birth dates, and income, asset, and demographic information. Should this database be built, it would constitute an enormous expansion of government surveillance powers that can be directed toward more efficient targeting of individual Americans.” 

Structured as “Stargate LLC,” the initiative is a partnership between the United States government and three main corporate entities: OpenAI, which provides generative AI technology; Oracle, which supplies the necessary cloud and database infrastructure; and SoftBank, which contributes the speculative capital to fund the operation. Sam Altman and Ellison are key figures. I don’t see many media companies reporting on this initiative, but apparently it represents a fundamental paradigm shift, merging government with private corporate interests (remember the basic definition of fascism?) in an effort to dominate the technological landscape of the future. SoftBank has already invested $100 billion and the building of the first datacenter has commenced in Texas, with the whole $500 billion project slated to be completed by 2029.

The stated goal of Stargate is to secure American geopolitical hegemony—specifically in rivalry with China—by achieving “super-intelligence,” defined as AI capable of strategic reasoning and cyber-offensive missions, before any other nation. The Trump regime is utilizing a “techno-nationalist” framework to define the project as a critical national security asset. This categorization insulates the project from standard regulatory hurdles, allowing it to bypass environmental reviews, local zoning laws, and privacy regulations that would otherwise slow down the building of the massive data centers required to train advanced AI models.

Trump—and the rogue’s gallery of Right Wing pundits and influencers who mauled each other at the Turning Points USA conference last week—provide a demented entertainment spectacle for the masses. But what’s far more important, I suspect, is the billionaire technocrats operating behind the scenes, outside of public scrutiny. They are using their vast wealth and political influence to replace our flawed democracy with an unaccountable corporate/surveillance, hyper-militarized media-controlled technocracy. Ellison recently gained control of Paramount through his son David’s Skydance acquisition, which includes CBS, where the news division is now led by Zionist apparatchik Bari Weiss. Ellison is also the lead investor in the new American TikTok deal, and he is still seeking to engineer a takeover of Warner Bros. Discovery, which includes CNN. That would lead to unprecedented media consolidation and media power.

Peter Thiel, the founder of Palantir, has openly stated his belief that “freedom and democracy are incompatible.” He also doesn’t believe in the future of the nation state or centralized national currencies. His company, Palantir, was awarded $30 million to build “ImmigrationOS,” a system for ICE that pulls together data from every facet of all of our lives.

The Trump regime is bypassing traditional law enforcement, building a high-tech military apparatus that will function as a weapon for the executive to wield without oversight. Through the “Big Beautiful Bill,” Immigration and Customs Enforcement (ICE) is set to become a massive paramilitary force. Congress has allocated approximately $75 billion through 2029 for border and interior enforcement, with ICE receiving substantial annual increases. Under the new budget, ICE will receive more funding than the FBI and DEA combined. The agency plans to hire 10,000 new officers by 2029 to dramatically expand its force, potentially surpassing the FBI in the number of personnel with arrest authority. They are spending tens of millions of dollars on high-grade weaponry and surveillance infrastructure, as well as $45 billion for expanded detention capacity. Most Democrats in Congress did little to raise the alarm or try to stop this. 

One disorienting part of this shift is the silence—or rather, the amazing hypocrisy—of the political Right. Just a few years ago, the conservative media ecosystem screeched like relentless banshees, warning about the threat of “technocratic totalitarianism” under progressive government. Biden was engaged in censorship. Democrats would use COVID-19 as an excuse to install vaccine passports and digital IDs. Tucker Carlson, Alex Jones, Joe Rogan, and others insisted that these tools would turn free Americans into “chattel slaves” of the global elite. They seemed arrayed against a situation where the government could track your movement and shut off your access to society if you didn’t comply.

But now that their own team is in power, their fear has vanished. In fact, the Right is building the very systems they warned us against, but on a scale beyond anything sought by Democrats. The “digital ID” is back, but this time it’s being touted as a tool to stop illegal immigration. The same people who shouted “tyranny” at the idea of a smartphone app for vaccination status are now all-in for a centralized biometric database that tracks every worker in America. The “free speech absolutists” on the Right don’t seem to care when the U.S. government refuses entry to the country from Europeans with dissenting political views. They seem fine with the regime’s plan to collect everyone’s DNA samples at the border. They don’t mind Trump using “lawfare” to intimidate media companies into silence. 

Now that the authoritarian Trump regime is in charge, the surveillance state is, apparently, totally fine. One might suspect that the Trump regime is trying to bring this system online in a hurry, before Trump croaks or people understand what’s actually happening, and organize against it.

By Daniel Pinchbeck, Liminal News, Dec 28

1 A Panopticon is an architectural concept for a prison, designed by Jeremy Bentham, featuring a central watchtower surrounded by cells, allowing a single guard to observe all inmates who can't tell if they're being watched, creating self-discipline through perceived constant surveillance; it's also a metaphor for modern surveillance, representing how power controls behavior without direct force, influencing ideas in philosophy (Foucault) and culture. (Google Gemini)",,
1036180815578212,2026-05-15 23:53:18+00:00,Oklahoma,1,state mention is not evidence of post origin,"🚨 CLAREMORE CITY COUNCIL IS ABOUT TO HAND BILLIONAIRE DATA CENTER DEVELOPERS YOUR TAX DOLLARS — AND THEY WANT TO VOTE ON IT MONDAY! 🚨💰

Let that sink in, Claremore.

While YOUR property taxes go up.
While YOUR roads need fixing.
While YOUR schools fight for every dollar — John Feary and the Claremore City Council are preparing to create THREE separate tax incentive districts for a billionaire data center developer called Mustang Tulsa Holdings, LLC.

They posted it on the bulletin board Friday evening at 5:18 PM.

On purpose.

Hoping you wouldn’t notice before Monday’s vote.

We noticed. 👀

This is the same backroom data center deal that:

❌ Was negotiated in SECRET behind non-disclosure agreements

❌ Was hidden on a website the developer hadn’t even made public yet — until WE found it

❌ Led to journalists being TRESPASSED from public property for asking questions

❌ Resulted in citizens being LOCKED OUT of a public meeting about the project

❌ Is NOW under investigation by Attorney General Gentner Drummond for Open Meetings Act violations

And after ALL of that — instead of pumping the brakes — they’re doubling down and rushing a TAX BREAK vote through on Monday.

💸 Item 7: Three tax incentive districts for the developer

💸 Item 8: A development agreement with Mustang Tulsa Holdings, LLC

💸 Item 9: Rewriting the electric ordinance to create a brand new “Mega Load Users” category — tailor made for a power-hungry data center

Every. Single. Item. Has John Feary’s name on it.

The man who trespassed our journalists.
The man whose emails to ALL councilors and 200-plus city employees are now evidence of Open Meetings Act violations.

That man wants to hand a billionaire a tax deal this Monday while the AG investigates him.

The audacity is breathtaking. 😤

Claremore, you deserve better.

You deserve a city government that fights FOR your tax dollars — not one that gives them away to corporations in secret deals while locking you out of the room.

📍 We will be at the Rogers County Courthouse Monday morning at 9AM. Come join us.

Then come to that council meeting and make your voices heard.

💪 And if you want to be part of our lawsuit — message us directly. The more Claremore residents who join, the louder this gets.

🔁 Share this post. Tag every Claremore resident you know. They are counting on you staying quiet.

Don’t. 🔥

— Guerrilla.News | Tulsa, Oklahoma

#Claremore #TaxBreaks #BillionaireTaxBreaks #ProjectMustang #MustangTulsaHoldings #DataCenter #JohnFeary #RogersCounty #Oklahoma #OKPolitics #YourTaxDollars #OpenMeetingsAct #AGDrummond #GentnerDrummond #Corruption #LocalGovernment #Transparency #GuerrillaNews #AccountabilityJournalism #TaxIncentives #EconomicDevelopment #ClaremoreCity #VoteThemOut #PublicRecords #FirstAmendment #BackroomDeals #ShowUp #MondayVote #CitizensFirst #FightBack",,
1355227373401306,2026-05-26 14:44:17+00:00,Virginia,4,state mention is not evidence of post origin,"Communities across the U.S. are standing up against new AI data centers. As of May 2026, a total of 78 restrictions have been put in place nationwide — up from just 8 in May 2025. That is a tenfold jump in just one year.

Local governments are saying no because these facilities use huge amounts of water and electricity. One single data center can use 5 million gallons of water every day. In Minnesota, 13 proposed centers would need as much power as all 2.3 million homes in the state.

So far, 50 active bans and 4 permanent bans are in place across different areas. States like Virginia, Georgia, and Oklahoma have already moved to pause or stop new projects. And this is happening in both Republican and Democrat areas — this is a community issue, not a political one.

Over $156 billion worth of projects were paused or delayed in 2025 due to local opposition.

📸 Photo: AI Generated / Representative Purpose Only

#AIDataCenters #ArtificialIntelligence #TechNews #DataCenter #AINews",,
3739055436232546,2025-03-14 20:38:47+00:00,Virginia,1,state mention is not evidence of post origin,"Wilderness Crossing, the 2,600-acre rezoning and proposed development in Orange County adjacent to Wilderness Battlefield, is having its first day in court next Friday, Mar. 21. Help us pack the courtroom in support of our partners’ lawsuit against the project.

This development threatens to transform the natural and historic Route 3 corridor in eastern Orange County into a traffic-choked industrial landscape that consumes vast quantities of water and electricity and where soaring transmission lines stretch across the county and beyond.

Virginians are lucky to have incredible access to important historic sites like Wilderness Battlefield, many of which also provide excellent opportunities for outdoor recreation and a thriving tourism economy. This is thanks to decades of work by local citizens, nonprofit organizations, and government agencies working together to protect and open up these important sites to the public.

We need your help to protect Wilderness Battlefield and to reform data center development here in Virginia. 

Learn more and watch the full video at pecva.org/wilderness

#datacenter #historicpreservation #civilwar #civilwarbattlefields #history #americanhistory #virginia #ai #artificialintelligence #orangecountyva #wildernessbattlefield #publicland #parks",,
1410169417662753,2026-07-22 00:46:08+00:00,Ohio,1,state mention is not evidence of post origin,"Ohio EPA has scrapped a controversial permit that would have eased wastewater discharges from some data centers after public backlash. 

#PowerToThePeople #datacenter #SayNoMore #sayno #NoDataCenters #Ohio #fypシ #fypシ゚viralシ #viralpost",,
1622914492739802,2026-02-18 15:48:20+00:00,Texas,2,state mention is not evidence of post origin,"Electricity should be affordable and abundant for every use.

Share the facts at CFACT.org: https://www.cfact.org/2026/02/18/datacenters-and-electricity-costs-by-the-numbers/

While there is a push by some politicians of both parties to singularly blame, and in some cases scapegoat, datacenters for rising electricity prices, data from the U.S. Department of Energy’s U.S. Energy Information Administration (EIA) tells a much different story.

EIA’s most recent Electric Power Monthly on January 26 found that the nationwide average cost of residential electricity was 17.78 cents per kilowatt-hour (kWh) for the month of November 2025. That is up 5.5% from a year ago. It exceeds the Consumer Price Index (CPI) for that period, continuing a disturbing trend that began in 2021, long before the datacenter boom took off.

If datacenters are the singular reason for high electricity prices, then the states with the most of them should be in dire straits, pricewise. They are not.

A January 2026 study from the American Edge Project found that the two states with the most datacenters are, by far, Virginia (663) and Texas (405). These two states account for 26% of all U.S. datacenters.

Yet the average residential electricity rate in Virginia is 15.94 cents per kWh, more than 10% less than the national average. Yes, those costs have increased over the past year, and by slightly more than the national increase (8.2% vs. 5.5%), while Virginia has gained an influx of high-paying jobs, tax revenue, and other economic activity.

In Texas, the average residential electricity rate is 16.04 cents per kWh, 9.8% less than the national average. Over the past year, in energy-friendly Texas, residential electricity prices have risen 2.3%.

At the other end of the cost spectrum is Vermont, home of Senator Bernie Sanders, who has aggressively sought to demonize datacenters. Vermont has the fewest datacenters in the country – three. Yet Vermont’s residential electric rates are 36% above the national average, an onerous financial burden, especially in a state that does not receive the vast economic benefits of datacenters.

Electricity costs have risen faster than the CPI over the past five years due to systemic problems: a shortage of supply (power plants), an aging transmission grid prone to bottlenecks, and regulatory inertia, including intractable permitting delays.

Datacenters can be catalysts for breaking these chains in our electrical system and revitalizing it, so that it not only meets our needs but does so at a lower cost. There is ample precedent for this.

Since electricity was first invented and was initially available only to the wealthy, its costs have trended lower. Despite significant price increases since 2021, according to the Federal Reserve, average residential electricity prices fell by 14.6% from 1978 to 2026 when measured in real dollars, that is, adjusted for inflation.

It is time to accelerate electricity production so that the increased supply dwarfs the rising demand from datacenters, new manufacturing facilities, homes that want to use more electronic devices, and other factors.

With many Americans facing high electricity bills amid the current cold snap, constructive dialogue should begin immediately, using the EIA data and a sober assessment of the immense electricity challenges now facing the country.",,
